0,1,2,3,4,5,6,7
-6.5099764,1.6805501,0.615978,-4.0543923,-4.4381294,-2.2680726,10.50717,0.17953974
-8.641257,2.2279284,0.048347536,-4.7301683,-2.2645025,0.3301875,9.0583935,0.3128922
5.6801023,-1.6724468,-0.6332443,-0.7657495,2.4886591,14.885242,3.8827438,-0.37712204
2.6797807,-6.4547,-0.04432816,4.7316227,0.8112497,0.5662197,-9.813073,-1.0244694
4.764751,6.066814,-1.5533452,-4.633046,7.447387,1.2777336,-6.2888284,-1.9568056
3.4742026,5.3382993,-4.6937428,-3.188432,8.269276,2.1927493,-6.3044057,1.1253153
-4.6737366,-3.2841856,0.6008359,1.1659474,-2.5954223,0.89769036,0.36735022,5.5377207
-4.649146,-4.5986953,2.596928,3.7175045,-2.7444427,1.3399526,2.9270782,4.4994617
5.823205,2.979253,0.4529897,-6.35008,-1.295053,2.4860094,16.8713,3.082951
5.953496,2.9194863,4.2989717,-5.656044,-1.0223886,2.1816094,17.029072,1.1126883
6.2907753,2.0876527,-7.058813,-0.051715303,1.6543924,0.9972087,-2.418294,-2.7494848
-0.818597,4.651243,-0.66151404,1.1151204,-0.6236071,0.734216,-15.675598,-1.7899297
6.2362523,-1.2578306,0.7394465,-4.0779443,0.5968652,5.050712,15.277408,0.46509507
1.5439098,0.5684492,-2.6025603,-6.340282,7.111207,4.4890437,11.922818,4.8429914
8.961031,5.8201494,-1.0393187,-0.61708224,1.7764671,14.579702,7.7058687,2.4421775
-0.3616185,0.7106969,0.3423919,-13.337571,0.08808882,3.1900256,-0.94679606,0.7723237
3.7882404,1.0308119,-1.5132135,-2.8303862,-0.50327045,2.4781525,1.6916313,-5.410197
4.187994,-0.5425551,-4.4615593,-1.840005,-2.5859983,1.1528517,4.5670276,-3.4980192
0.9495664,0.36595932,1.0936857,3.1935227,-0.3106265,13.70669,-6.1204047,0.7824117
4.329259,0.65495664,-2.1390953,3.55838,4.460624,8.354804,-4.970667,-2.2813854
2.5682292,-1.346279,4.0247536,-2.1798604,5.5567226,11.46458,6.349452,1.9780183
-0.7573143,9.4026575,3.0053086,-4.9933276,5.0957813,0.39165127,6.819557,0.94770366
-0.72043735,1.5489271,2.8380783,-7.582361,2.6899164,8.312184,14.6310425,-1.6409143
-3.2269344,-4.062657,3.8637733,-0.35007724,-5.9307356,2.7526364,7.410479,-3.3354826
-7.934761,1.8973844,1.4922118,0.61189914,-3.4790032,-2.36012,1.216157,-6.742962
3.283289,6.9675875,-0.4876769,0.7811236,1.7211072,3.618433,7.258872,8.783284
5.0938787,5.140727,-2.402139,-1.0309304,-0.05851331,1.6979606,6.188113,10.030193
-2.4248178,2.4379592,-1.6763197,5.4726405,1.3248743,0.93167394,13.768582,0.56254494
0.61414474,9.633213,2.800983,-0.26079357,4.4646354,11.37159,1.112461,5.5573554
5.141732,3.7792597,0.60587376,1.0128915,6.2277384,-0.16630852,12.092545,1.4214579
5.509146,7.1457176,5.1979938,-2.7866058,5.912799,8.873918,14.099259,5.768091
8.167944,6.4437494,3.5753615,-0.5619832,9.570517,11.146981,6.218693,4.869852
4.463846,11.994126,-0.6144652,-1.1176164,5.3362055,9.580176,6.8908505,-2.373581
7.9435234,0.58152163,2.4457498,-0.018441949,1.2673382,-6.337211,9.794923,-0.74031067
1.1203688,0.44556665,4.390331,-2.2085638,3.1326754,-3.4513469,8.802629,-5.6309237
-1.7492297,2.501755,2.8866541,-2.8855608,2.5436409,-4.185426,8.66165,0.65845317
-1.601296,0.15088083,3.670647,-0.54454505,0.6108228,-2.1330378,8.691646,-0.731148
-4.3875833,4.278405,0.49599013,0.25225973,0.7912146,-2.1318336,10.305889,0.39348185
-3.539468,2.8279533,2.338352,2.810626,2.3096087,-3.310735,8.268261,2.140064
-5.6944704,2.6646569,3.300554,0.010813059,3.6257477,-0.49955672,9.444425,1.4302633
-5.6824865,3.3707864,2.7215695,-0.73275197,0.4924334,-2.6624572,8.476212,3.9785824
-2.3843803,1.5329018,-0.14646061,0.15943727,1.100881,0.024120903,10.117661,4.7017574
2.3273172,0.4636754,-1.7285385,0.67129964,0.92464334,-0.55867004,9.827322,5.4324117
0.09340838,-0.8590895,-5.4188323,-5.835512,5.0051465,1.6984253,-4.611272,0.9276397
1.1526963,-2.6147497,-6.000072,-5.770517,1.6401547,2.2826922,-3.500809,3.148052
0.9403814,-1.6653974,-2.7561715,-6.666102,3.7762287,0.5844294,-4.169271,5.4120317
-1.0927364,-3.8486626,-4.004557,-3.6221073,4.371312,0.27971599,-2.8745155,4.9988346
0.98446137,-4.9857736,-1.1667572,-3.9858155,1.8885319,-0.29352838,-1.9045337,5.7362967
4.890052,-0.3531123,2.7016115,-1.4339097,2.922612,-5.3568435,9.019568,-3.9193423
3.4592352,0.43221068,5.1157584,0.21907957,1.065466,-5.2641606,9.69505,-1.3636721
2.370755,3.0414052,1.588921,-1.8780746,-0.16595276,-3.6107655,9.076055,-1.4300232
